,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
103,SELIC,529.0,i | 1 | 2 | 3,,3.56,-4.81,3450300.0,12609.0,1531.0,15.8,2.78,2.1,0.06,0.23,8.99,19.23,8.31,1.28,30.69,,308.0,394.0,-0.06,,,,,
104,SENA,530.0,i | 1 | 3,,3.96,-1.0,1314600.0,5197.0,5686.0,5.09,0.81,1.59,0.19,0.78,9.54,16.83,25.33,7.80,32.25,,139.0,191.0,0.1,,,,,
105,SGP,536.0,i | 1 | 2 | 3,,10.5,-2.78,2724600.0,28922.0,19298.0,6.63,1.36,2.29,0.40,1.58,9.81,22.81,7.76,4.63,16.47,,100.0,198.0,0.17,,,,,
106,SICT,540.0,i,,5.15,-2.83,4155300.0,21648.0,2060.0,52.96,5.66,0.2,0.04,0.1,10.65,13.32,19.25,0.81,31.17,,640.0,610.0,,,,,,
107,SIS,544.0,i | 1 | 2 | 3,,37.0,0.0,4651000.0,169031.0,12957.0,19.69,4.32,1.73,1.00,1.88,10.0,23.8,2.59,2.70,34.34,,317.0,422.0,0.64,,,,,
108,SISB,545.0,i | 1 | 3,,9.45,-1.05,1003700.0,9530.0,8883.0,51.74,4.57,0.69,0.08,0.18,6.12,8.98,23.76,0.80,20.11,,745.0,756.0,1.21,,,,,
109,SMK,557.0,i | 1 | 2 | 3,,32.75,-2.24,220200.0,7256.0,6550.0,8.83,0.91,1.29,2.20,3.71,5.65,11.51,7.19,6.57,15.91,,283.0,391.0,-3.52,,,,,
110,SNNP,561.0,i,,10.4,13.04,423206200.0,4866112.0,0.0,,-,,-,0.0,8.9,60.3,15.52,-,28.5,,,,,,,,,
111,SO,563.0,i,,11.3,0.89,1335600.0,14926.0,4204.0,28.96,4.63,0.77,0.02,0.39,11.78,15.87,7.71,1.36,27.99,,485.0,468.0,,,,,,
112,SONIC,565.0,i | 1 | 3,,5.0,0.0,45384900.0,230170.0,2750.0,31.51,4.00,0.59,0.06,0.16,12.17,13.36,6.94,1.10,31.66,,547.0,483.0,2.22,,,,,
113,SPACK,568.0,i | 1 | 2 | 3,,3.52,-1.12,12914300.0,46517.0,1056.0,12.45,1.93,1.38,,0.28,8.46,16.88,6.01,,24.28,,267.0,348.0,0.05,,,,,
